ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Mar-11_fire-1-1,Mar-11_fire-1,tʃi,23,false,expert,Valenzuela2023,,,
Chak-11_fire-1-1,Chak-11_fire-1,tʃiʔi,23,false,expert,Valenzuela2023,,,
Kax-11_fire-1-1,Kax-11_fire-1,tʃiʔi,23,false,expert,Valenzuela2023,,,
Yam-11_fire-1-1,Yam-11_fire-1,tʃii,23,false,expert,Valenzuela2023,,,
Chan-11_fire-1-1,Chan-11_fire-1,tʃii,23,false,expert,Valenzuela2023,,,
Shar-11_fire-1-1,Shar-11_fire-1,tʃii,23,false,expert,Valenzuela2023,,,
ProPa-12_knee-1-1,ProPa-12_knee-1,rã,31,false,expert,Valenzuela2023,,,
Ksh-12_knee-1-1,Ksh-12_knee-1,rãβoʂo,31,false,expert,Valenzuela2023,,,
SK-12_knee-1-1,SK-12_knee-1,rãβoʂo,31,false,expert,Valenzuela2023,,,
Kap-12_knee-1-1,Kap-12_knee-1,rãβoʂo,31,false,expert,Valenzuela2023,,,
Mar-12_knee-1-1,Mar-12_knee-1,ravuʃɨ,31,false,expert,Valenzuela2023,,,
Kax-12_knee-1-1,Kax-12_knee-1,tʃãburu,31,false,expert,Valenzuela2023,,,
ProPa-13_blood-1-1,ProPa-13_blood-1,himi,4,false,expert,Valenzuela2023,,,
Ksh-13_blood-1-1,Ksh-13_blood-1,imi,4,false,expert,Valenzuela2023,,,
SK-13_blood-1-1,SK-13_blood-1,himi,4,false,expert,Valenzuela2023,,,
Kap-13_blood-1-1,Kap-13_blood-1,himi,4,false,expert,Valenzuela2023,,,
Mar-13_blood-1-1,Mar-13_blood-1,imbi,4,false,expert,Valenzuela2023,,,
Chak-13_blood-1-1,Chak-13_blood-1,himi,4,false,expert,Valenzuela2023,,,
Kax-13_blood-1-1,Kax-13_blood-1,himi,4,false,expert,Valenzuela2023,,,
Yam-13_blood-1-1,Yam-13_blood-1,im,4,false,expert,Valenzuela2023,,,
Chan-13_blood-1-1,Chan-13_blood-1,ibi,4,false,expert,Valenzuela2023,,,
Shar-13_blood-1-1,Shar-13_blood-1,imi,4,false,expert,Valenzuela2023,,,
ProPa-14_breast-1-1,ProPa-14_breast-1,ʂo,6,false,expert,Valenzuela2023,,,
Ksh-14_breast-1-1,Ksh-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
SK-14_breast-1-1,SK-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
Kap-14_breast-1-1,Kap-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
Mar-14_breast-1-1,Mar-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
Chak-14_breast-1-1,Chak-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
Chan-14_breast-1-1,Chan-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
Shar-14_breast-1-1,Shar-14_breast-1,ʂoma,6,false,expert,Valenzuela2023,,,
ProPa-15_sun-1-1,ProPa-15_sun-1,βari,42,false,expert,Valenzuela2023,,,
Ksh-15_sun-1-1,Ksh-15_sun-1,βaɾi,42,false,expert,Valenzuela2023,,,
SK-15_sun-1-1,SK-15_sun-1,βaɾi,42,false,expert,Valenzuela2023,,,
Kap-15_sun-1-1,Kap-15_sun-1,βaɾi,42,false,expert,Valenzuela2023,,,
Mar-15_sun-1-1,Mar-15_sun-1,vaɾi,42,false,expert,Valenzuela2023,,,
Chak-15_sun-1-1,Chak-15_sun-1,βaɾi,42,false,expert,Valenzuela2023,,,
Kax-15_sun-1-1,Kax-15_sun-1,βatʃi,42,false,expert,Valenzuela2023,,,
Chan-15_sun-1-1,Chan-15_sun-1,ɸaɾi,42,false,expert,Valenzuela2023,,,
Shar-15_sun-1-1,Shar-15_sun-1,ɸari,42,false,expert,Valenzuela2023,,,
ProPa-16_you-1-1,ProPa-16_you-1,mi,49,false,expert,Valenzuela2023,,,
Ksh-16_you-1-1,Ksh-16_you-1,miː,49,false,expert,Valenzuela2023,,,
SK-16_you-1-1,SK-16_you-1,mia,49,false,expert,Valenzuela2023,,,
Kap-16_you-1-1,Kap-16_you-1,mia,49,false,expert,Valenzuela2023,,,
Chak-16_you-1-1,Chak-16_you-1,mia,49,false,expert,Valenzuela2023,,,
ProPa-17_come-1-1,ProPa-17_come-1,βɨ,11,false,expert,Valenzuela2023,,,
Ksh-17_come-1-1,Ksh-17_come-1,βɨ,11,false,expert,Valenzuela2023,,,
SK-17_come-1-1,SK-17_come-1,βɨ,11,false,expert,Valenzuela2023,,,
Kap-17_come-1-1,Kap-17_come-1,βɨ,11,false,expert,Valenzuela2023,,,
Chak-17_come-1-1,Chak-17_come-1,βɨ,11,false,expert,Valenzuela2023,,,
Kax-17_come-1-1,Kax-17_come-1,bɨ,11,false,expert,Valenzuela2023,,,
Yam-17_come-1-1,Yam-17_come-1,ɸɨ,11,false,expert,Valenzuela2023,,,
Chan-17_come-1-1,Chan-17_come-1,ɸɨ,11,false,expert,Valenzuela2023,,,
Shar-17_come-1-1,Shar-17_come-1,ɸɨ,11,false,expert,Valenzuela2023,,,
ProPa-18_i-1-1,ProPa-18_i-1,ʔɨ,29,false,expert,Valenzuela2023,,,
Ksh-18_i-1-1,Ksh-18_i-1,ʔɨ,29,false,expert,Valenzuela2023,,,
SK-18_i-1-1,SK-18_i-1,ʔɨ,29,false,expert,Valenzuela2023,,,
Kap-18_i-1-1,Kap-18_i-1,ʔɨ,29,false,expert,Valenzuela2023,,,
Chak-18_i-1-1,Chak-18_i-1,ɨ,29,false,expert,Valenzuela2023,,,
ProPa-19_flesh-1-1,ProPa-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
Ksh-19_flesh-1-1,Ksh-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
SK-19_flesh-1-1,SK-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
Kap-19_flesh-1-1,Kap-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
Mar-19_flesh-1-1,Mar-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
Chak-19_flesh-1-1,Chak-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
Kax-19_flesh-1-1,Kax-19_flesh-1,lami,24,false,expert,Valenzuela2023,,,
Yam-19_flesh-1-1,Yam-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
Chan-19_flesh-1-1,Chan-19_flesh-1,nabi,24,false,expert,Valenzuela2023,,,
Shar-19_flesh-1-1,Shar-19_flesh-1,nami,24,false,expert,Valenzuela2023,,,
ProPa-20_fat-1-1,ProPa-20_fat-1,ʂɨni,21,false,expert,Valenzuela2023,,,
Ksh-20_fat-1-1,Ksh-20_fat-1,ʂɨni,21,false,expert,Valenzuela2023,,,
SK-20_fat-1-1,SK-20_fat-1,ʂɨni,21,false,expert,Valenzuela2023,,,
