ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Shell,ConceptInSource
Yam-9_night-1,,Yam,9_night,yamɨa,yamɨa,j a m ɨ a,None,Valenzuela2023,37,,,,( - j a ) m ɨ - a ( - - - - - ),71,Night
Chan-9_night-1,,Chan,9_night,yabɨ,yabɨ,j a b ɨ,None,Valenzuela2023,37,,,,( - j a ) b ɨ - - ( - - - - - ),71,Night
Shar-9_night-1,,Shar,9_night,yamɨ,yamɨ,j a m ɨ,None,Valenzuela2023,37,,,,( - j a ) m ɨ - - ( - - - - - ),71,Night
ProPaTa-10_skin-1,,ProPaTa,10_skin,bitsi,bitsi,b i ts i,None,Valenzuela2023,39,,,,( - - ) b i ts i,22,Skin
ProPa-10_skin-1,,ProPa,10_skin,βitsi,βitsi,β i ts i,None,Valenzuela2023,39,,,,( - - ) β i ts i,22,Skin
Ksh-10_skin-1,,Ksh,10_skin,βitʃi,βitʃi,β i tʃ i,None,Valenzuela2023,39,,,,( - - ) β i tʃ i,22,Skin
SK-10_skin-1,,SK,10_skin,βitʃi,βitʃi,β i tʃ i,None,Valenzuela2023,39,,,,( - - ) β i tʃ i,22,Skin
Kap-10_skin-1,,Kap,10_skin,βitʃi,βitʃi,β i tʃ i,None,Valenzuela2023,39,,,,( - - ) β i tʃ i,22,Skin
Mar-10_skin-1,,Mar,10_skin,vitʃi,vitʃi,β i tʃ i,None,Valenzuela2023,39,,,,( - - ) β i tʃ i,22,Skin
Chak-10_skin-1,,Chak,10_skin,βitʃi,βitʃi,β i tʃ i,None,Valenzuela2023,39,,,,( - - ) β i tʃ i,22,Skin
Kax-10_skin-1,,Kax,10_skin,bitʃi,bitʃi,b i tʃ i,None,Valenzuela2023,39,,,,( - - ) b i tʃ i,22,Skin
Chan-10_skin-1,,Chan,10_skin,ɸitʃi,ɸitʃi,ɸ i tʃ i,None,Valenzuela2023,39,,,,( - - ) ɸ i tʃ i,22,Skin
Shar-10_skin-1,,Shar,10_skin,ɸitʃi,ɸitʃi,ɸ i tʃ i,None,Valenzuela2023,39,,,,( - - ) ɸ i tʃ i,22,Skin
ProPaTa-11_fire-1,,ProPaTa,11_fire,tsiʔi,tsiʔi,ts i ʔ i,None,Valenzuela2023,22,,,,( - - ) ts i ʔ i ( - - - ),None,Fire
ProPa-11_fire-1,,ProPa,11_fire,tsiʔi,tsiʔi,ts i ʔ i,None,Valenzuela2023,22,,,,( - - ) ts i ʔ i ( - - - ),None,Fire
Ksh-11_fire-1,,Ksh,11_fire,tʃii,tʃii,tʃ i i,None,Valenzuela2023,22,,,,( - - ) tʃ i - i ( - - - ),None,Fire
SK-11_fire-1,,SK,11_fire,tʃii,tʃii,tʃ i i,None,Valenzuela2023,22,,,,( - - ) tʃ i - i ( - - - ),None,Fire
Kap-11_fire-1,,Kap,11_fire,tʃiʔi,tʃiʔi,tʃ i ʔ i,None,Valenzuela2023,22,,,,( - - ) tʃ i ʔ i ( - - - ),None,Fire
Mar-11_fire-1,,Mar,11_fire,tʃi,tʃi,tʃ i,None,Valenzuela2023,22,,,,( - - ) tʃ i - - ( - - - ),None,Fire
Chak-11_fire-1,,Chak,11_fire,tʃiʔi,tʃiʔi,tʃ i ʔ i,None,Valenzuela2023,22,,,,( - - ) tʃ i ʔ i ( - - - ),None,Fire
Kax-11_fire-1,,Kax,11_fire,tʃiʔi,tʃiʔi,tʃ i ʔ i,None,Valenzuela2023,22,,,,( - - ) tʃ i ʔ i ( - - - ),None,Fire
Yam-11_fire-1,,Yam,11_fire,tʃii,tʃii,tʃ i i,None,Valenzuela2023,22,,,,( - - ) tʃ i - i ( - - - ),None,Fire
Chan-11_fire-1,,Chan,11_fire,tʃii,tʃii,tʃ i i,None,Valenzuela2023,22,,,,( - - ) tʃ i - i ( - - - ),None,Fire
Shar-11_fire-1,,Shar,11_fire,tʃii,tʃii,tʃ i i,None,Valenzuela2023,22,,,,( - - ) tʃ i - i ( - - - ),None,Fire
ProPaTa-12_knee-1,,ProPaTa,12_knee,da-n,da-n,d a n,None,Valenzuela2023,30,,,,( - - - - - ) d a n ( - - - - - ),37,Knee
ProPa-12_knee-1,,ProPa,12_knee,rã-,rã-,r a ∼,None,Valenzuela2023,30,,,,( - - - - - ) r a ∼ ( - - - - - ),37,Knee
Ksh-12_knee-1,,Ksh,12_knee,rãβoʂo,rãβoʂo,r a ∼ β o ʂ o,None,Valenzuela2023,30,,,,( - - - - - ) r a ∼ ( β o ʂ - o ),37,Knee
SK-12_knee-1,,SK,12_knee,rãβoʂo,rãβoʂo,r a ∼ β o ʂ o,None,Valenzuela2023,30,,,,( - - - - - ) r a ∼ ( β o ʂ - o ),37,Knee
Kap-12_knee-1,,Kap,12_knee,rãβoʂo,rãβoʂo,r a ∼ β o ʂ o,None,Valenzuela2023,30,,,,( - - - - - ) r a ∼ ( β o ʂ - o ),37,Knee
Mar-12_knee-1,,Mar,12_knee,ravuʃɨ,ravuʃɨ,r a β u ʃ ɨ,None,Valenzuela2023,30,,,,( - - - - - ) r a - ( β u ʃ ɨ - ),37,Knee
Kax-12_knee-1,,Kax,12_knee,tʃãburu,tʃãburu,tʃ a ∼ b u r u,None,Valenzuela2023,30,,,,( - - - - - ) tʃ a ∼ ( b u r - u ),37,Knee
ProPaTa-13_blood-1,,ProPaTa,13_blood,hemi,hemi,h e m i,None,Valenzuela2023,4,,,,h e m i,48,Blood
ProPa-13_blood-1,,ProPa,13_blood,himi,himi,h i m i,None,Valenzuela2023,4,,,,h i m i,48,Blood
Ksh-13_blood-1,,Ksh,13_blood,imi,imi,i m i,None,Valenzuela2023,4,,,,- i m i,48,Blood
SK-13_blood-1,,SK,13_blood,himi,himi,h i m i,None,Valenzuela2023,4,,,,h i m i,48,Blood
Kap-13_blood-1,,Kap,13_blood,himi,himi,h i m i,None,Valenzuela2023,4,,,,h i m i,48,Blood
Mar-13_blood-1,,Mar,13_blood,imbi,imbi,i m.b i,/b/ as superscript bb,Valenzuela2023,4,,,,- i m.b i,48,Blood
Chak-13_blood-1,,Chak,13_blood,himi,himi,h i m i,None,Valenzuela2023,4,,,,h i m i,48,Blood
Kax-13_blood-1,,Kax,13_blood,himi,himi,h i m i,None,Valenzuela2023,4,,,,h i m i,48,Blood
Yam-13_blood-1,,Yam,13_blood,im,im,i m,None,Valenzuela2023,4,,,,- i m -,48,Blood
Chan-13_blood-1,,Chan,13_blood,ibi,ibi,i b i,None,Valenzuela2023,4,,,,- i b i,48,Blood
Shar-13_blood-1,,Shar,13_blood,imi,imi,i m i,None,Valenzuela2023,4,,,,- i m i,48,Blood
ProPaTa-14_breast-1,,ProPaTa,14_breast,aṣu,aṣu,a s u,None,Valenzuela2023,6,,,,a s u ( - - ),None,Breast
ProPa-14_breast-1,,ProPa,14_breast,ʂo,ʂo,ʂ o,None,Valenzuela2023,6,,,,- ʂ o ( - - ),None,Breast
Ksh-14_breast-1,,Ksh,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
SK-14_breast-1,,SK,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
Kap-14_breast-1,,Kap,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
Mar-14_breast-1,,Mar,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
Chak-14_breast-1,,Chak,14_breast,ʂoma,ʂoma,ʂ o m a,None,Valenzuela2023,6,,,,- ʂ o ( m a ),None,Breast
