ID	ALIGNMENT	COGID	TOKENS	CONCEPT	CONCEPTINSOURCE	SHELL	DOCULECT	FORM	VALUE	NOTE
454	( e - ) tʃ e ( e - - )	44	e tʃ e e	Tooth	Tooth	96	Sapibokona	echee	echee	None
455	( i - ) ts i ( - - - )	44	i ts i	Tooth	Tooth	96	Mabenaro	itsi	itsi	None
456	( e + ) tʂ e ( - - - )	44	e + ts e	Tooth	Tooth	96	Cavinena	e-ce	e-ce	None
457	( e + ) s e ( - - - )	44	e + s e	Tooth	Tooth	96	EseEjja	e-se	e-se	None
458	( e + ) s !é/e ( - - - )	44	e + s !é/e	Tooth	Tooth	96	Warayo	e-sé	e-sé	None
459	( e - ) s e ( - - - )	44	e s e	Tooth	Tooth	96	Tiatinawa	ese	ese	None
460	( e + ) s !é/e ( - - - )	44	e + s !é/e	Tooth	Tooth	96	Chama	e-sé	e-sé	None
461	( e - ) s e ( - - - )	44	e s e	Tooth	Tooth	96	Arasa	ese	ese	None
462	( - - - ) b e t a ( - - - - )	46	b e t a	Two	Two	24	Proto-Takana	beta	beta	None
463	( - - - ) b e t a ( - - - - )	46	b e t a	Two	Two	24	Tacanan	beta	beta	None
464	( - - - ) m.b e t a ( - - - - )	46	m.b e t a	Two	Two	24	Reyesano	mbeta	mbeta/beta	None
465	( - - - ) b e t a ( - - - - )	46	b e t a	Two	Two	24	Sapibokona	beta	beta	None
466	( - - - ) b e t a ( - - - - )	46	b e t a	Two	Two	24	Araona	beta	beta	None
467	( - - - ) b e t a ( - - - - )	46	b e t a	Two	Two	24	Cavinena	beta	beta	None
468	( - - - ) b e k a ( - - - - )	46	b e k a	Two	Two	24	EseEjja	beka	beka	None
469	( - - - ) b e - a ( b u !é/e - )	46	b e a b u !é/e	Two	Two	24	Warayo	beabué	beabué	None
470	( - - - ) b i k a ( p i a i )	46	b i k a p i a i	Two	Two	24	Tiatinawa	bikapiai	bikapiai	None
471	( - - - ) b !é/e k a ( - - - - )	46	b !é/e k a	Two	Two	24	Chama	béka	béka	None
472	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Proto-Takana	takʷa	takʷa	None
473	( e + ) t a kʷ a	33	e + t a kʷ a	Liver	Liver	104	Tacanan	e-takwa	e-takwa	None
474	( e + ) t a kʷ a	33	e + t a kʷ a	Liver	Liver	104	Reyesano	e-takwa	e-takwa/-	None
475	( e + ) t a kʷ a	33	e + t a kʷ a	Liver	Liver	104	Cavinena	e-takwa	e-takwa	None
476	( e + ) k a kʷ a	33	e + k a kʷ a	Liver	Liver	104	EseEjja	e-kakwa	e-kakwa	None
477	( e + ) t a kʷ e	33	e + t a kʷ e	Liver	Liver	104	Warayo	e-takwe	e-takwe	None
478	( e - ) t !á/a kʷ a	33	e t !á/a kʷ a	Liver	Liver	104	Arasa	etákua	etákua	None
479	( - - ) p e - i	31	p e i	Leaf,To fan	To fan	None	Proto-Takana	pei	pei	None
480	( - - ) p e - i	31	p e i	Leaf,To fan	To fan	None	Cavinena	pei-	pei-	None
481	( e + ) p e x i	31	e + p e x i	Leaf,To fan	To fan	None	EseEjja	e-pexi	e-pexi	None
482	( - - ) p i - o	31	p i o	Leaf,To fan	To fan	None	Warayo	pio-	pio-	None
483	( - - - ) tʂ a ( - ) u	5	tʂ a u	Bone	Bone	93	Proto-Takana	tʂau	tʂau	None
484	( - e + ) tʂ a ( - ) u	5	e + ʈʂ a u	Bone	Bone	93	Tacanan	e-cau	e-cau	None
485	( - e + ) ts a ( - ) o	5	e + ts a o	Bone	Bone	93	Reyesano	e-cao	e-cao/etrá	None
486	( - e + ) tʂ a ( - ) o	5	e + ts a o	Bone	Bone	93	Cavinena	e-cao	e-cao	None
487	( - e + ) s !á/a ( - ) -	5	e + s !á/a	Bone	Bone	93	EseEjja	e-sá	e-sá	None
488	( - e + ) s !á/a ( - ) -	5	e + s !á/a	Bone	Bone	93	Warayo	e-sá	e-sá	None
489	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Proto-Takana	ana	ana	None
490	( - j + ) - a n ( - ) a	43	j + a n a	Tongue	Tongue	46	Tacanan	y-ana	y-ana	None
491	( - j + ) - a n ( - ) a	43	j + a n a	Tongue	Tongue	46	Reyesano	y-ana	y-ana/eana	None
492	( - - e ) - a n ( - ) a	43	e a n a	Tongue	Tongue	46	Sapibokona	eana	eana	None
493	( - j + ) - a n ( - ) a	43	j + a n a	Tongue	Tongue	46	Cavinena	y-ana	y-ana	None
494	( e j - ) - a n ( - ) a	43	e j a n a	Tongue	Tongue	46	EseEjja	eyana	eyana	None
495	( - j + ) - a n ( - ) a	43	j + a n a	Tongue	Tongue	46	Warayo	y-ana	y-ana	None
496	( - j - ) - a n ( - ) a	43	j a n a	Tongue	Tongue	46	Tiatinawa	yana	yana	None
497	( e - - ) - !á/a n ( - ) a	43	e !á/a n a	Tongue	Tongue	46	Arasa	eána	eána	None
498	( - - ) m e ( - - - - - - )	27	m e	Hand	Hand	70	Proto-Takana	me-	me-	None
499	( e + ) m e ( - - - - - - )	27	e + m e	Hand	Hand	70	Tacanan	e-me	e-me	None
500	( e - ) m e ( - - tʃ u j a )	27	e m e tʃ u j a	Hand	Hand	70	Reyesano	emechuja	-/emechuja	None
501	( e - ) m e ( - - - - - - )	27	e m e	Hand	Hand	70	Sapibokona	eme	eme	None
502	( e - ) m e ( - - - - - - )	27	e m e	Hand	Hand	70	Araona	eme	eme	None
503	( e + ) m e ( - - - - - - )	27	e + m e	Hand	Hand	70	Cavinena	e-me	e-me	None
504	( e + ) m e ( - - - - - - )	27	e + m e	Hand	Hand	70	EseEjja	e-me	e-me	None
505	( e + ) m !é/e ( - - - - - - )	27	e + m !é/e	Hand	Hand	70	Warayo	e-mé	e-mé	None
506	( e - ) m !ã/a ( - - - - - - )	27	e m !ã/a	Hand	Hand	70	Arasa	emã	emã	None
507	( - - - ) m e t a ( - - - - - )	37	m e t a	Night	Night,tomorrow	71	Proto-Takana	meta	meta	None
508	( - - - ) m ue t a ( - - - - - )	37	m ue t a	Night	Night,tomorrow	71	Tacanan	mueta	mueta	None
509	( - - - ) m ai t a ( - - - - - )	37	m ai t a	Night	Night,tomorrow	71	Reyesano	maita	-/maita	None
510	( - - - ) m ae t a ( h e - - - )	37	m ae t a h e	Night	Night,tomorrow	71	Sapibokona	maetahe	maetahe	None
511	( - - - ) m e t a ( - - - - - )	37	m e t a	Night	Night,tomorrow	71	Cavinena	meta	meta	None
512	( - - - ) m e k a ( + w a x e )	37	m e k a + w a x e	Night	Night,tomorrow	71	EseEjja	meka-waxe	meka-waxe	None
513	( e - - ) m !é/e t e ( - - - - - )	37	e m !é/e t e	Night	Night,tomorrow	71	Arasa	eméte	eméte	None
514	( - - ) b i t i	39	b i t i	Skin	Skin	22	Proto-Takana	biti	biti	None
515	( e + ) b i t i	39	e + b i t i	Skin	Skin	22	Tacanan	e-biti	e-biti	None
516	( e + ) m.b i t i	39	e + m.b i t i	Skin	Skin	22	Reyesano	e-mbiti	e-mbiti/embiti	None
517	( e + ) b i t i	39	e + b i t i	Skin	Skin	22	Cavinena	e-biti	e-biti	None
518	( - - ) t i - - ( - - - )	22	t i	Fire	Fire	None	Proto-Takana	ti	ti	None
519	( e + ) t i - - ( + ɽ e )	22	e + t i + ɽ e	Fire	Fire	None	Tacanan	e-ti-ře	e-ti-ře	None
520	( - - ) t i - - ( - - - )	22	t i	Fire	Fire	None	Reyesano	-ti-	-ti-/-	None
521	( e - ) t e - - ( - s i )	22	e t e s i	Fire	Fire	None	Araona	etesi	etesi	None
522	( e + ) t i - - ( - k i )	22	e + t i k i	Fire	Fire	None	Cavinena	e-tiki	e-tiki	None
523	( - - - - - ) d a - ( - - - - - )	30	d a	Knee	Knee	37	Proto-Takana	da	da	None
524	( e + m a + ) d a - ( + kʷ a - - )	30	e + m a + d a + kʷ a	Knee	Knee	37	Tacanan	e-ma-da-cua	e-ma-da-cua	None
525	- a m i	4	a m i	Blood	Blood	48	Proto-Takana	ami	ami	None
526	- a m i	4	a m i	Blood	Blood	48	Tacanan	ami	ami	None
527	- a m i	4	a m i	Blood	Blood	48	Reyesano	ami	ami/ami	None
528	- a m i	4	a m i	Blood	Blood	48	Cavinena	ami	ami	None
529	( a ) tʂ u ( - - )	6	a tʂ u	Breast	Breast	None	Proto-Takana	aṭṣu	aṭṣu	None
530	b a d i ( - - )	40	b a d i	Moon, Sun	Moon	16	Proto-Takana	badi	badi	None
531	b a d i ( - - )	40	b a d i	Moon, Sun	Moon	16	Tacanan	badi	badi	None
532	m.b a n.dz i ( - - )	40	m.b a n.dz i	Moon, Sun	Moon	16	Reyesano	mbandzi	mbandzi/bansri	None
533	b a r i ( - - )	40	b a r i	Moon, Sun	Moon	16	Sapibokona	bari	bari	None
534	b a d i ( - - )	40	b a d i	Moon, Sun	Moon	16	Araona	badi	badi	None
535	b a d i ( - - )	40	b a d i	Moon, Sun	Moon	16	Cavinena	badi	badi	None
536	b a ʔ i ( - - )	40	b a ʔ i	Moon, Sun	Moon	16	EseEjja	baʔi	baʔi	None
537	m !á/a - i ( - - )	40	m !á/a i	Moon, Sun	Moon	16	Chama	mái	mái	None
538	m i ( - - - - - )	47	m i	You	You	72	Proto-Takana	mi	mi	None
539	m i ( + k e - - )	47	m i + k e	You	You	72	Tacanan	mi-ke	mi-ke	None
540	m i ( b - e - - )	47	m i b e	You	You	72	Reyesano	mibe	mibe/mive	None
541	m i ( t j a - - )	47	m i t j a	You	You	72	Araona	mitya	mitya	None
542	m i ( + kʷ a n a )	47	m i + kʷ a n a	You	You	72	Cavinena	mi-kwana	mi-kwana	None
543	m i ( + - a - - )	47	m i + a	You	You	72	EseEjja	mi-a	mi-a	None
544	m i ( - k i - a )	47	m i k i a	You	You	72	Arasa	mikia	mikia	None
545	b e	10	b e	Come	Come	24	Proto-Takana	be-	be-	'bring'
546	- e ( - - - )	28	e	I	I	11	Proto-Takana	e	e	None
547	- e ( + m a )	28	e + m a	I	I	11	Tacanan	e-ma	e-ma	None
548	- e ( + m e )	28	e + m e	I	I	11	Reyesano	e-me	e-me/éme	None
549	- e ( - m a )	28	e m a	I	I	11	Araona	ema	ema,yama	None
550	- e ( + r a )	28	e + r a	I	I	11	Cavinena	e-ra	e-ra	None
551	- e ( - - a )	28	e a	I	I	11	EseEjja	ea	ea,eyaya	None
552	( - - ) r a m i	23	r a m i	Flesh	Flesh	78	Proto-Takana	ɾami	ɾami	None
553	( - - ) j a m i	23	j a m i	Flesh	Flesh	78	Tacanan	yami	yami	None
554	( - - ) j a m i	23	j a m i	Flesh	Flesh	78	Reyesano	yami	yami/eami	None
555	( - - ) j a m i	23	j a m i	Flesh	Flesh	78	Araona	yami	yami	None
556	( e + ) r a m i	23	e + r a m i	Flesh	Flesh	78	Cavinena	e-rami	e-rami	None
557	( e - ) j a m i	23	e j a m i	Flesh	Flesh	78	EseEjja	eyami	eyami	None
558	( e - ) j a m i	23	e j a m i	Flesh	Flesh	78	Warayo	eyami	eyami	None
559	( !é/e - ) - a m i	23	!é/e a m i	Flesh	Flesh	78	Arasa	éami	éami	None
560	( - - ) tʂ e r i	20	tʂ e r i	Fat	Fat	99	Proto-Takana	ṭṣeri	ṭṣeri	None
561	( e + ) tʂ e - i	20	e + ʈʂ e i	Fat	Fat	99	Tacanan	e-cei	e-cei	None
562	( e + ) tʂ e r i	20	e + ts e r i	Fat	Fat	99	Cavinena	e-ceri	e-ceri	None
563	( e + ) s e - i	20	e + s e i	Fat	Fat	99	EseEjja	e-sei	e-sei	None
564	( !é/e - ) s e - !j/i	20	!é/e s e !j/i	Fat	Fat	99	Arasa	ésey	ésey	None
565	( - - ) m e - ( - ) t i ʃ i ( - - - - - )	21	m e t i ʃ i	Fingernail	Fingernail	None	Proto-Takana	metiji	metiji	None
566	( e + ) m e - ( - ) - - - - ( + h a tʂ a )	21	e + m e + h a ʈʂ a	Fingernail	Fingernail	None	Tacanan	e-me-haca	e-me-haca	None
567	( e - ) m e - ( - ) t i tʃ i ( - - - - - )	21	e m e t i tʃ i	Fingernail	Fingernail	None	Reyesano	emetichi	-/emechuja,emetichi	'fingers','nails'
568	( e + ) m e - ( + ) - - - - ( ʃ o r o - )	21	e + m e + ʃ o r o	Fingernail	Fingernail	None	Cavinena	e-me-šoro	e-me-šoro	'nail'
569	( e + ) m e - ( + ) k i ʃ e ( - - - - - )	21	e + m e + k i ʃ e	Fingernail	Fingernail	None	EseEjja	e-me-kiše	e-me-kiše	'nail'
570	( - - - - ) t a ( - - - - - - - )	24	t a	Foot,leg	Foot,leg	103	Proto-Takana	ta-	ta-	'leg'
571	( e + - - ) t a ( - - + b u tʂ e )	24	e + t a + b u ʈʂ e	Foot,leg	Foot,leg	103	Tacanan	e-ta-buce	e-ta-buce	'shin bone'
572	( - - i - ) tʰ a ( - - - - - - - )	24	i tʰ a	Foot,leg	Foot,leg	103	Mabenaro	itha	itha	None
573	( a w a + ) t a ( - - k a - - - )	24	a w a + t a k a	Foot,leg	Foot,leg	103	Cavinena	awa-taka	awa-taka	'tapir-foot (plant)'
574	( - - ) kʷ e ( - - - - - - - - )	32	kʷ e	Lip,edge	Lip,edge	59	Proto-Takana	kʷe-	kʷe(i)-	None
575	( e + ) k e ( + k e - - - - - )	32	e + k e + k e	Lip,edge	Lip,edge	59	Tacanan	e-ke-ke	e-ke-ke	None
576	( - - ) kʷ e ( - s a - - - - - )	32	kʷ e s a	Lip,edge	Lip,edge	59	Reyesano	kwesa	kwesa/euesa	'beard'/'beard'
577	( - - ) kʷ e ( - s a - - - - - )	32	kʷ e s a	Lip,edge	Lip,edge	59	Cavinena	kwesa	kwesa	'beard'
578	( e + ) kʷ e ( + ʃ a - - - - - )	32	e + kʷ e + ʃ a	Lip,edge	Lip,edge	59	EseEjja	e-kwe-ša	e-kwe-ša	'beard'
579	( - - - - ) t a m u	9	t a m u	Cheek	Cheek	105	Proto-Takana	tamu	tamu	None
580	( e b u + ) t a m u	9	e b u + t a m u	Cheek	Cheek	105	Reyesano	ebu-tamu	ebu-tamu/-	None
581	( - - - - ) t a m u	9	t a m u	Cheek	Cheek	105	Cavinena	-tamu	-tamu	None
582	( - - - - ) ʃ e m o	9	ʃ e m o	Cheek	Cheek	105	EseEjja	-shemo	-shemo	None
583	( - - ) kʷ a tʂ a ( - - )	35	kʷ a tʂ a	Mouth	Mouth	None	Proto-Takana	kʷatʂa	kʷatʂa	None
584	( e + ) kʷ a tʂ a ( - - )	35	e + kʷ a ʈʂ a	Mouth	Mouth	None	Tacanan	e-kwaca	e-kwaca	None
585	( e + ) kʷ a tʂ a ( - - )	35	e + kʷ a ts a	Mouth	Mouth	None	Reyesano	e-kwaca	e-kwaca/ekuatra	None
586	( e - ) kʷ a tʃ a ( - - )	35	e kʷ a tʃ a	Mouth	Mouth	None	Sapibokona	ecuacha	ecuacha	None
587	( i - ) kʷ a ts a ( - - )	35	i kʷ a ts a	Mouth	Mouth	None	Mabenaro	ikwatsa	ikwatsa	None
588	( e + ) kʷ a tʂ a ( - - )	35	e + kʷ a ts a	Mouth	Mouth	None	Cavinena	e-kwaca	e-kwaca	None
589	( e + ) kʷ a s a ( - - )	35	e + kʷ a s a	Mouth	Mouth	None	EseEjja	e-kwasa	e-kwasa	None
590	( e + ) kʷ a s a ( - - )	35	e + kʷ a s a	Mouth	Mouth	None	Warayo	e-kwasa	e-kwasa	None
591	( - - - - - - ) b a ( - ) tʂ u ( - - - - - )	19	b a tʂ u	Elbow	Elbow	None	Proto-Takana	-baṭṣu	-baṭṣu	None
592	( - - - - e + ) b a ( + ) tʂ u ( - - - - - )	19	e + b a + ʈʂ u	Elbow	Elbow	None	Tacanan	e-ba-cu	e-ba-cu	None
593	( - - - - e + ) m.b a ( + ) ts o ( - - - - - )	19	e + m.b a + ts o	Elbow	Elbow	None	Reyesano	e-mba-co	e-mba-co/-	None
594	( - - - - e + ) b a ( - ) ʃ o ( - - - - - )	19	e + b a ʃ o	Elbow	Elbow	None	EseEjja	e-bašo	e-bašo	None
595	( - - - - e + ) b a ( - ) ʃ o ( - - - - - )	19	e + b a ʃ o	Elbow	Elbow	None	Warayo	e-bašo	e-bašo	None
596	( - - - - - - ) w a ( - ) ts u ( - - - - - )	19	w a ts u	Elbow	Elbow	None	Tiatinawa	wacu	wacu	None
597	( - - - - e - ) b a ( - ) ʃ a ( - - - - - )	19	e b a ʃ a	Elbow	Elbow	None	Arasa	ebaša	ebaša	None
598	ʔ ɨ ( - - - )	1	ʔ ɨ	1st SG 'I'	1st SG 'I'	11	Proto-Pano-Takana	ʔɨ	ʔɨ	None
599	ʔ ɨ ( - - - )	1	ʔ ɨ	1st SG 'I'	1st SG 'I'	11	Proto-Pano	ʔɨ	ʔɨ	None
600	ʔ ɨ ( - - - )	1	ʔ ɨ	1st SG 'I'	1st SG 'I'	11	Kakataibo	ʔɨ	ʔɨ	None
601	ʔ ɨ ( - - - )	1	ʔ ɨ	1st SG 'I'	1st SG 'I'	11	ShipiboKonibo	ʔɨ	ʔɨ	None
602	ʔ ɨ ( - - - )	1	ʔ ɨ	1st SG 'I'	1st SG 'I'	11	Kapanawa	ʔɨ	ʔɨ	None
603	- ɨ ( - - - )	1	ɨ	1st SG 'I'	1st SG 'I'	11	Chacobo	ɨ	ɨ	None
604	- !ɨ̃/ɨ ( - - - )	1	!ɨ̃/ɨ	1st SG 'I'	1st SG 'I'	11	Yaminawa	ɨ̃	ɨ̃	None
605	m i ( - - - - - )	2	m i	2nd SG 'you'	2nd SG 'you'	72	Proto-Pano-Takana	mi	mi	None
606	m i ( - - - - - )	2	m i	2nd SG 'you'	2nd SG 'you'	72	Proto-Pano	mi	mi	None
607	m i ( - - i - - )	2	m i i	2nd SG 'you'	2nd SG 'you'	72	Kakataibo	mii	mii	None
608	m i ( - - a - - )	2	m i a	2nd SG 'you'	2nd SG 'you'	72	ShipiboKonibo	mia	mia	None
609	m i ( - - a - - )	2	m i a	2nd SG 'you'	2nd SG 'you'	72	Kapanawa	mia	mia	None
610	m i ( - - a - - )	2	m i a	2nd SG 'you'	2nd SG 'you'	72	Chacobo	mia	mia	object form
611	m !ĩ/i ( - - - - - )	2	m !ĩ/i	2nd SG 'you'	2nd SG 'you'	72	Yaminawa	mĩ	mĩ	None
612	ʔ u ( - - - - - )	11	ʔ u	DEMONSTRATIVE	DEMONSTRATIVE distal	14	Proto-Pano-Takana	ʔu-	ʔu-	None
613	ʔ o ( - - - - - )	11	ʔ o	DEMONSTRATIVE	DEMONSTRATIVE distal	14	Proto-Pano	ʔo-	ʔo-	None
614	- u ( - - - n - )	11	u n	DEMONSTRATIVE	DEMONSTRATIVE distal	14	Kakataibo	un_	un (A),ux (S),u (O)	None
615	- o ( - - a - - )	11	o a	DEMONSTRATIVE	DEMONSTRATIVE distal	14	ShipiboKonibo	oa	oa	None
616	- o ( - - a - - )	11	o a	DEMONSTRATIVE	DEMONSTRATIVE distal	14	Chacobo	oa	oa	None
617	- o ( - - a - - )	11	o a	DEMONSTRATIVE	DEMONSTRATIVE distal	14	Yaminawa	oa	oa	None
618	!N/r ɨ	13	!N/r ɨ	DEMONSTRATIVE proximate	DEMONSTRATIVE proximate	79	Proto-Pano-Takana	Nɨ-	Nɨ-	None
619	n ɨ	13	n ɨ	DEMONSTRATIVE proximate	DEMONSTRATIVE proximate	79	Proto-Pano	nɨ-	nɨ-	None
620	( ɨ ) n ɨ ( - n - - )	13	ɨ n ɨ n	DEMONSTRATIVE proximate	DEMONSTRATIVE proximate	79	Kakataibo	ɨnɨn_	ɨnɨn (A),ɨnɨx (S),ɨnɨ (O)	None
621	( - ) n ɨ ( - - - - )	13	n ɨ	DEMONSTRATIVE proximate	DEMONSTRATIVE proximate	79	ShipiboKonibo	nɨ-	nɨ-~nato	None
622	( - ) n o ( - a - - )	13	n o a	DEMONSTRATIVE proximate	DEMONSTRATIVE proximate	79	Chacobo	noa	noa,toa	None
623	( - ) n a ( - - - - )	13	n a	DEMONSTRATIVE proximate	DEMONSTRATIVE proximate	79	Yaminawa	na	na	None
624	gʷ ɨ ( + ) n ( - )	25	gʷ ɨ + n	GENITIVE	GENITIVE	44	Proto-Pano-Takana	-gʷɨ-n	-gʷi-n	None
625	w ɨ ( - ) !∼/n ( - )	25	w ɨ !∼/n	GENITIVE	GENITIVE	44	Proto-Pano	-wɨ̃	-wɨ̃	None
626	- - ( - ) n ( - )	25	n	GENITIVE	GENITIVE	44	Kakataibo	=n	=(a)n	None
627	- - ( - ) n ( - )	25	n	GENITIVE	GENITIVE	44	ShipiboKonibo	-n	-n	None
628	- - ( - ) n ( a )	25	n a	GENITIVE	GENITIVE	44	Yaminawa	-na	-na,-fɨna	None
629	gʷ ɨ	29	gʷ ɨ	IMPERATIVE	IMPERATIVE	43	Proto-Pano-Takana	-gʷɨ	-gʷɨ	None
630	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	Proto-Pano	-wɨ	-wɨ	None
631	- ɨ	29	ɨ	IMPERATIVE	IMPERATIVE	43	Kakataibo	-ɨ	-ɨ	None
632	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	ShipiboKonibo	-wɨ	-wɨ	None
633	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	Kapanawa	-wɨ	-wɨ	None
634	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	Marubo	-wɨ	-wɨ	None
635	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	Chacobo	-wɨ	-wɨ	None
636	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	Kaxarari	-wɨ	-wɨ	None
637	ɸ ɨ	29	ɸ ɨ	IMPERATIVE	IMPERATIVE	43	Yaminawa	-ɸɨ	-ɸɨ	None
638	w ɨ	29	w ɨ	IMPERATIVE	IMPERATIVE	43	Sharanawa	-wɨ	-wɨ	None
639	( - - ) b u t ɨ ( - - - )	26	b u t ɨ	GOING DOWN,DOWNWARD	GOING DOWN,DOWNWARD	None	Proto-Pano-Takana	-but[ɨ]	-but[ɨ]	None
640	( - - ) β u t - ( - - - )	26	β u t	GOING DOWN,DOWNWARD	GOING DOWN,DOWNWARD	None	Proto-Pano	-βut	-βut	For  pP  Girard  (1971:  163,  26)  proposes  *-bu  ‘down’,  while  we  consider  *-but  more  accurate  based  on Matses/Mayoruna -budand Kakataibo -but.
641	( - - ) b u t - ( - - - )	26	b u t	GOING DOWN,DOWNWARD	GOING DOWN,DOWNWARD	None	Kakataibo	-but	-but	None
642	( - - ) b ɨ ( - - - - )	17	b ɨ	DO COMING	DO COMING	None	Proto-Pano-Takana	-bɨ	-bɨ	None
643	( - - ) β ɨ ( - - - - )	17	β ɨ	DO COMING	DO COMING	None	Proto-Pano	-βɨ	-βɨ[...]	Guillaume 2017:254
644	( - - ) b ɨ ( ts - i n )	17	b ɨ ts i n	DO COMING	DO COMING	None	Kakataibo	-bɨtsin	-bɨtsin	None
645	( - - ) b ɨ ( i r a n )	17	b ɨ i r a n	DO COMING	DO COMING	None	ShipiboKonibo	-bɨiran	-bɨiran	None
646	( - - ) b ɨ ( n - a - )	17	b ɨ n a	DO COMING	DO COMING	None	Chacobo	-bɨna	-bɨna	None
647	( - - ) ɸ ɨ ( - r a n )	17	ɸ ɨ r a n	DO COMING	DO COMING	None	Yaminawa	-ɸɨran	-ɸɨran	None
648	k a ts a ( - - - - )	14	k a ts a	DESIDERATIVE	DESIDERATIVE	53	Proto-Pano-Takana	-katsa	-katsa	None
649	k a ts a ( - - - - )	14	k a ts a	DESIDERATIVE	DESIDERATIVE	53	Proto-Pano	-katsa	-katsa	None
650	k a s - ( - - - - )	14	k a s	DESIDERATIVE	DESIDERATIVE	53	Kakataibo	-kas	-kas,-katsi	None
651	k a s - ( - - - - )	14	k a s	DESIDERATIVE	DESIDERATIVE	53	ShipiboKonibo	-kas	-kas	None
652	k a ts i ( ʔ - - - )	14	k a ts i ʔ	DESIDERATIVE	DESIDERATIVE	53	Kapanawa	-katsiʔ-	-katsiʔ-,-katsiʔki-	None
653	k a ts i ( - - - - )	14	k a ts i	DESIDERATIVE	DESIDERATIVE	53	Marubo	-katsi	-katsi	None
654	k a s - ( - - - - )	14	k a s	DESIDERATIVE	DESIDERATIVE	53	Chacobo	-kas-	-kas-	None
655	k a ts a ( - - - - )	14	k a ts a	DESIDERATIVE	DESIDERATIVE	53	Kaxarari	-katsa	-katsa	None
656	k a s - ( - m a - )	14	k a s m a	DESIDERATIVE	DESIDERATIVE	53	Yaminawa	kasma	kasma,kaspa,katsa	'not to want','desiderative negative','to have'
657	k a s - ( + m a i )	14	k a s + m a i	DESIDERATIVE	DESIDERATIVE	53	Sharanawa	-kas-mai	-kas-mai	'not to want'
658	( - - ) m a ( - )	36	m a	NEGATIVE	NEGATIVE	61	Proto-Pano-Takana	-ma	-(...a)ma	None
659	( j a ) m a ( - )	36	j a m a	NEGATIVE	NEGATIVE	61	Proto-Pano	-yama	-[ya]ma	verbal
660	( - - ) m a ( - )	36	m a	NEGATIVE	NEGATIVE	61	Kakataibo	-ma	-ma	None
661	( j a ) m a ( - )	36	j a m a	NEGATIVE	NEGATIVE	61	ShipiboKonibo	-yama	-yama	None
662	( j a ) m a ( - )	36	j a m a	NEGATIVE	NEGATIVE	61	Kapanawa	yama	yama	None
663	( - - ) m a ( - )	36	m a	NEGATIVE	NEGATIVE	61	Marubo	-ma	-ma,-ama	None
664	( j a ) m a ( - )	36	j a m a	NEGATIVE	NEGATIVE	61	Chacobo	-yama	-yama	None
665	( - - ) m a ( - )	36	m a	NEGATIVE	NEGATIVE	61	Kaxarari	-ma	-ma,maʔa	None
666	( - - ) m a ( a )	36	m a a	NEGATIVE	NEGATIVE	61	Yaminawa	maa	maa,ma,yama	'not','negative','negative prohibitive'
667	( - - ) m a ( - )	36	m a	NEGATIVE	NEGATIVE	61	Sharanawa	-ma	-ma,-yama	'no','imperative,negative,prohibitive'
668	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Proto-Pano-Takana	-m[a/e]	-m[a/e]	None
669	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Proto-Pano	-m[a]	-m[a]	None
670	m i ( - - )	7	m i	CAUSATIVE	CAUSATIVE	None	Kakataibo	-mi-	-mi-	None
671	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	ShipiboKonibo	-ma-	-ma-	None
672	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Kapanawa	-ma-	-ma-	None
673	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Marubo	-ma	-ma	None
674	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Chacobo	-ma	-ma	None
675	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Yaminawa	-ma	-ma	None
676	m a ( - - )	7	m a	CAUSATIVE	CAUSATIVE	None	Sharanawa	-ma-	-ma-	None
677	( - - - ) p a ( - )	3	p a	AUGMENTATIVE	AUGMENTATIVE	81	Proto-Pano-Takana	-pa	-pa	None
678	( - - - ) p a ( - )	3	p a	AUGMENTATIVE	AUGMENTATIVE	81	Proto-Pano	pa	pa	None
679	( n + e ) w !á/a ( - )	3	n + e w !á/a	AUGMENTATIVE	AUGMENTATIVE	81	ShipiboKonibo	-n_ewá	-n ewá	None
680	( a h - ) w a ( n )	3	a h w a n	AUGMENTATIVE	AUGMENTATIVE	81	Kapanawa	-ahhuan	-ahhuan	None
681	( - - - ) w a ( - )	3	w a	AUGMENTATIVE	AUGMENTATIVE	81	Chacobo	-wa	-wa	None
682	( n - - ) f !ã/a ( - )	3	n f !ã/a	AUGMENTATIVE	AUGMENTATIVE	81	Yaminawa	-nfã	-nfã	None
