ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	SUBGROUP	CONCEPTINSOURCE	SHELL
140	Chaninawa	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
141	Sharanawa	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
351	Shanenawa	Breast	ʂuma	ʂuma	ʂ u m a		6	Panoan	Breast	
352	Katukina	Breast	ʃuma	ʃuma	ʃ u m a		6	Panoan	Breast	
353	Poyanawa	Breast	hũba	hũba	h ũ b a		6	Panoan	Breast	
354	Amawaka	Breast	xoma	xoma	x o m a		6	Panoan	Breast	
355	Kaxinawa	Breast	ʂuma	ʂuma	ʂ u m a		6	Panoan	Breast	
356	Marinawa	Breast	ʂoma	ʂoma	ʂ o m a		6	Panoan	Breast	
357	Yawanawa	Breast	ʃuma	ʃuma	ʃ u m a		6	Panoan	Breast	
358	Korubo	Breast	ʂuma	ʂuma	ʂ u m a		6	Panoan	Breast	
359	Matis	Breast	ʂuma	ʂuma	ʂ u m a		6	Panoan	Breast	
360	Matses	Breast	ʂuma	ʂuma	ʂ u m a		6	Panoan	Breast	
529	Proto-Takana	Breast	aṭṣu	aṭṣu	a ts u		6	Tacanan	Breast	
668	Proto-Pano-Takana	CAUSATIVE	-m[a/e]	-ma	m a		7		CAUSATIVE	
669	Proto-Pano	CAUSATIVE	-m[a]	-ma	m a		7	Panoan	CAUSATIVE	
670	Kakataibo	CAUSATIVE	-mi-	-mi-	m i		7	Panoan	CAUSATIVE	
671	ShipiboKonibo	CAUSATIVE	-ma-	-ma-	m a		7	Panoan	CAUSATIVE	
672	Kapanawa	CAUSATIVE	-ma-	-ma-	m a		7	Panoan	CAUSATIVE	
673	Marubo	CAUSATIVE	-ma	-ma	m a		7	Panoan	CAUSATIVE	
674	Chacobo	CAUSATIVE	-ma	-ma	m a		7	Panoan	CAUSATIVE	
675	Yaminawa	CAUSATIVE	-ma	-ma	m a		7	Panoan	CAUSATIVE	
676	Sharanawa	CAUSATIVE	-ma-	-ma-	m a		7	Panoan	CAUSATIVE	
749	Shanenawa	CAUSATIVE	-ma	-ma	m a		7	Panoan	CAUSATIVE	
750	Amawaka	CAUSATIVE	-ma-	-ma-	m a		7	Panoan	CAUSATIVE	
751	Kaxinawa	CAUSATIVE	-ma-	-ma-	m a		7	Panoan	CAUSATIVE	
752	Marinawa	CAUSATIVE	-ma	-ma	m a		7	Panoan	CAUSATIVE	
753	Yawanawa	CAUSATIVE	-ma-	-ma-	m a		7	Panoan	CAUSATIVE	
754	Korubo	CAUSATIVE	-me	-me	m e		7	Panoan	CAUSATIVE	
755	Matis	CAUSATIVE	-me	-me	m e		7	Panoan	CAUSATIVE	
756	Matses	CAUSATIVE	-me	-me	m e		7	Panoan	CAUSATIVE	
822	Proto-Takana	CAUSATIVE	-me[re]	-mere	m e r e	Girard reconstructs *-me[re] based on Tacana –meand Cavineña –mere. To this we can now add Ese’ Ejja -mee and Araona -me.	7	Tacanan	CAUSATIVE	
823	Tacanan	CAUSATIVE	-me	-me	m e		7	Tacanan	CAUSATIVE	
824	Araona	CAUSATIVE	-me	-me	m e		7	Tacanan	CAUSATIVE	
825	Cavinena	CAUSATIVE	-mere	-mere	m e r e		7	Tacanan	CAUSATIVE	
826	EseEjja	CAUSATIVE	-mee	-mee	m e e		7	Tacanan	CAUSATIVE	
713	Proto-Pano-Takana	COMITATIVE,ALONG WITH	bɨta	bɨta	b ɨ t a		8		COMITATIVE,ALONG WITH	24
714	Proto-Pano	COMITATIVE,ALONG WITH	βɨta	βɨta	β ɨ t a		8	Panoan	COMITATIVE,ALONG WITH	24
715	Kakataibo	COMITATIVE,ALONG WITH	-bɨ~-bɨtan	-bɨ	b ɨ		8	Panoan	COMITATIVE,ALONG WITH	24
716	ShipiboKonibo	COMITATIVE,ALONG WITH	-bɨ	-bɨ	b ɨ		8	Panoan	COMITATIVE,ALONG WITH	24
717	Chacobo	COMITATIVE,ALONG WITH	-bɨta	-bɨta	b ɨ t a		8	Panoan	COMITATIVE,ALONG WITH	24
718	Yaminawa	COMITATIVE,ALONG WITH	-fɨtã	-fɨtã	f ɨ t ã		8	Panoan	COMITATIVE,ALONG WITH	24
770	Amawaka	COMITATIVE,ALONG WITH	-wɨ,-wɨtã	-wɨ	w ɨ		8	Panoan	COMITATIVE,ALONG WITH	24
771	Kaxinawa	COMITATIVE,ALONG WITH	-bɨ,-bɨtã	-bɨ	b ɨ		8	Panoan	COMITATIVE,ALONG WITH	24
772	Marinawa	COMITATIVE,ALONG WITH	-fɨta,fɨtã	-fɨta	f ɨ t a		8	Panoan	COMITATIVE,ALONG WITH	24
773	Matses	COMITATIVE,ALONG WITH	-bid (S),-bɨta (O),-bɨtan (A)	-bid_	b i d		8	Panoan	COMITATIVE,ALONG WITH	24
851	Proto-Takana	COMITATIVE,ALONG WITH	beta	beta	b e t a	Girard additionally lists beta, beabué and béka for Sapibokona, Warayo and Chama respectively.	8	Tacanan	COMITATIVE,ALONG WITH TWO	24
852	Tacanan	COMITATIVE,ALONG WITH	beta	beta	b e t a		8	Tacanan	COMITATIVE,ALONG WITH TWO	24
853	Reyesano	COMITATIVE,ALONG WITH	mbeta/beta	mbeta	m.b e t a		8	Panoan	COMITATIVE,ALONG WITH TWO	24
854	Araona	COMITATIVE,ALONG WITH	beta	beta	b e t a		8	Tacanan	COMITATIVE,ALONG WITH TWO	24
855	Cavinena	COMITATIVE,ALONG WITH	beta	beta	b e t a		8	Tacanan	COMITATIVE,ALONG WITH TWO	24
856	EseEjja	COMITATIVE,ALONG WITH	beka	beka	b e k a		8	Tacanan	COMITATIVE,ALONG WITH TWO	24
223	Proto-Pano-Takana	Cheek	tamu	tamu	t a m u		9		Cheek	105
224	Proto-Pano	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
225	Kakataibo	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
226	ShipiboKonibo	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
227	Kapanawa	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
228	Marubo	Cheek	tambo	tambo	t a m.b o	/m/ as superscript	9	Panoan	Cheek	105
229	Chacobo	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
230	Kaxarari	Cheek	tamu	tamu	t a m u		9	Panoan	Cheek	105
231	Yaminawa	Cheek	tamo,tamõ	tamo	t a m o		9	Panoan	Cheek	105
232	Sharanawa	Cheek	tamo,tamon	tamo	t a m o		9	Panoan	Cheek	105
426	Katukina	Cheek	tamu	tamu	t a m u		9	Panoan	Cheek	105
427	Poyanawa	Cheek	tãbu	tãbu	t ã b u		9	Panoan	Cheek	105
428	Amawaka	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
429	Kaxinawa	Cheek	tamu	tamu	t a m u		9	Panoan	Cheek	105
430	Marinawa	Cheek	tamo	tamo	t a m o		9	Panoan	Cheek	105
431	Matses	Cheek	tambu	tambu	t a m.b u	'beard'	9	Panoan	Cheek	105
579	Proto-Takana	Cheek	tamu	tamu	t a m u		9	Tacanan	Cheek	105
580	Reyesano	Cheek	ebu-tamu/-	ebu-tamu	e b u + t a m u		9	Panoan	Cheek	105
581	Cavinena	Cheek	-tamu	-tamu	t a m u		9	Tacanan	Cheek	105
582	EseEjja	Cheek	-shemo	-shemo	ʃ e m o		9	Tacanan	Cheek	105
158	Proto-Pano-Takana	Come	bɨ-	bɨ-	b ɨ		10		Come	24
159	Proto-Pano	Come	βɨ-	βɨ-	β ɨ	'come,bring'	10	Panoan	Come	24
160	Kakataibo	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
161	ShipiboKonibo	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
162	Kapanawa	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
163	Chacobo	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
164	Kaxarari	Come	bɨ-	bɨ-	b ɨ		10	Panoan	Come	24
165	Yaminawa	Come	ɸɨ-	ɸɨ-	ɸ ɨ		10	Panoan	Come	24
166	Chaninawa	Come	ɸɨ-	ɸɨ-	ɸ ɨ		10	Panoan	Come	24
167	Sharanawa	Come	ɸɨ-	ɸɨ-	ɸ ɨ		10	Panoan	Come	24
377	Amawaka	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
378	Kaxinawa	Come	bɨ-	bɨ-	b ɨ		10	Panoan	Come	24
379	Marinawa	Come	ɸɨ-	ɸɨ-	ɸ ɨ		10	Panoan	Come	24
380	Yawanawa	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
381	Korubo	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
382	Matis	Come	βɨ-	βɨ-	β ɨ		10	Panoan	Come	24
383	Matses	Come	bɨ-	bɨ-	b ɨ		10	Panoan	Come	24
545	Proto-Takana	Come	be-	be-	b e	'bring'	10	Tacanan	Come	24
786	Proto-Takana	DEMONSTRATIVE 'this' 'he'	u-	u-	u		11	Tacanan	DEMONSTRATIVE 'this' 'he'	14
787	Tacanan	DEMONSTRATIVE 'this' 'he'	u-ha	u-ha	u + h a		11	Tacanan	DEMONSTRATIVE 'this' 'he'	14
788	Cavinena	DEMONSTRATIVE 'this' 'he'	o-ho	o-ho	o + h o		11	Tacanan	DEMONSTRATIVE 'this' 'he'	14
789	EseEjja	DEMONSTRATIVE 'this' 'he'	o-haya	o-haya	o + h a j a		11	Tacanan	DEMONSTRATIVE 'this' 'he'	14
612	Proto-Pano-Takana	DEMONSTRATIVE distal	ʔu-	ʔu-	ʔ u		12		DEMONSTRATIVE distal	14
613	Proto-Pano	DEMONSTRATIVE distal	ʔo-	ʔo-	ʔ o		12	Panoan	DEMONSTRATIVE distal	14
614	Kakataibo	DEMONSTRATIVE distal	un (A),ux (S),u (O)	un_	u n		12	Panoan	DEMONSTRATIVE distal	14
615	ShipiboKonibo	DEMONSTRATIVE distal	oa	oa	o a		12	Panoan	DEMONSTRATIVE distal	14
616	Chacobo	DEMONSTRATIVE distal	oa	oa	o a		12	Panoan	DEMONSTRATIVE distal	14
617	Yaminawa	DEMONSTRATIVE distal	oa	oa	o a		12	Panoan	DEMONSTRATIVE distal	14
728	Matses	DEMONSTRATIVE distal	uid	uid	u i d		12	Panoan	DEMONSTRATIVE distal	14
618	Proto-Pano-Takana	DEMONSTRATIVE proximate	Nɨ-	Nɨ-	!N/n ɨ		13		DEMONSTRATIVE proximate	79
619	Proto-Pano	DEMONSTRATIVE proximate	nɨ-	nɨ-	n ɨ		13	Panoan	DEMONSTRATIVE proximate	79
620	Kakataibo	DEMONSTRATIVE proximate	ɨnɨn (A),ɨnɨx (S),ɨnɨ (O)	ɨnɨn_	ɨ n ɨ n		13	Panoan	DEMONSTRATIVE proximate	79
621	ShipiboKonibo	DEMONSTRATIVE proximate	nɨ-~nato	nɨ-	n ɨ		13	Panoan	DEMONSTRATIVE proximate	79
622	Chacobo	DEMONSTRATIVE proximate	noa,toa	noa	n o a		13	Panoan	DEMONSTRATIVE proximate	79
623	Yaminawa	DEMONSTRATIVE proximate	na	na	n a		13	Panoan	DEMONSTRATIVE proximate	79
729	Matses	DEMONSTRATIVE proximate	nɨid	nɨid	n ɨ i d		13	Panoan	DEMONSTRATIVE proximate	79
790	Proto-Takana	DEMONSTRATIVE proximate	ree-	ree-	r e e		13	Tacanan	DEMONSTRATIVE proximate	79
791	Tacanan	DEMONSTRATIVE proximate	ye	ye	j e		13	Tacanan	DEMONSTRATIVE proximate	79
792	Cavinena	DEMONSTRATIVE proximate	reeke	reeke	r e e k e		13	Tacanan	DEMONSTRATIVE proximate	79
793	EseEjja	DEMONSTRATIVE proximate	hikio	hikio	h i k i o		13	Tacanan	DEMONSTRATIVE proximate	79
648	Proto-Pano-Takana	DESIDERATIVE	-katsa	-katsa	k a ts a		14		DESIDERATIVE	53
649	Proto-Pano	DESIDERATIVE	-katsa	-katsa	k a ts a		14	Panoan	DESIDERATIVE	53
650	Kakataibo	DESIDERATIVE	-kas,-katsi	-kas	k a s		14	Panoan	DESIDERATIVE	53
651	ShipiboKonibo	DESIDERATIVE	-kas	-kas	k a s		14	Panoan	DESIDERATIVE	53
652	Kapanawa	DESIDERATIVE	-katsiʔ-,-katsiʔki-	-katsiʔ-	k a ts i ʔ		14	Panoan	DESIDERATIVE	53
653	Marubo	DESIDERATIVE	-katsi	-katsi	k a ts i		14	Panoan	DESIDERATIVE	53
654	Chacobo	DESIDERATIVE	-kas-	-kas-	k a s		14	Panoan	DESIDERATIVE	53
655	Kaxarari	DESIDERATIVE	-katsa	-katsa	k a ts a		14	Panoan	DESIDERATIVE	53
656	Yaminawa	DESIDERATIVE	kasma,kaspa,katsa	kasma	k a s m a	'not to want','desiderative negative','to have'	14	Panoan	DESIDERATIVE	53
657	Sharanawa	DESIDERATIVE	-kas-mai	-kas-mai	k a s + m a i	'not to want'	14	Panoan	DESIDERATIVE	53
738	Amawaka	DESIDERATIVE	-katsi	-katsi	k a ts i		14	Panoan	DESIDERATIVE	53
739	Matses	DESIDERATIVE	-kas-,katsi	-kas-	k a s		14	Panoan	DESIDERATIVE	53
813	Proto-Takana	DESIDERATIVE	-katsa	-katsa	k a ts a		14	Tacanan	DESIDERATIVE	53
814	Tacanan	DESIDERATIVE	-tsa	-tsa	ts a		14	Tacanan	DESIDERATIVE	53
815	Araona	DESIDERATIVE	-hae	-hae	h a e		14	Tacanan	DESIDERATIVE	53
816	Cavinena	DESIDERATIVE	-kara	-kara	k a r a		14	Tacanan	DESIDERATIVE	53
817	EseEjja	DESIDERATIVE	-sa	-sa	s a		14	Tacanan	DESIDERATIVE	53
698	Proto-Pano-Takana	DETRANSITIVIZER,REFLEXIVE	-t[i]	-ti	t i		15		DETRANSITIVIZER,REFLEXIVE	
699	Proto-Pano	DETRANSITIVIZER,REFLEXIVE	-t	-t	t		15	Panoan	DETRANSITIVIZER,REFLEXIVE	
700	Kakataibo	DETRANSITIVIZER,REFLEXIVE	-t	-t	t		15	Panoan	DETRANSITIVIZER,REFLEXIVE	
701	ShipiboKonibo	DETRANSITIVIZER,REFLEXIVE	-t	-t	t		15	Panoan	DETRANSITIVIZER,REFLEXIVE	
839	Proto-Takana	DETRANSITIVIZER,REFLEXIVE	-ti	-ti	t i		15	Tacanan	DETRANSITIVIZER,REFLEXIVE	
840	Tacanan	DETRANSITIVIZER,REFLEXIVE	-ti	-ti	t i		15	Tacanan	DETRANSITIVIZER,REFLEXIVE	
841	Cavinena	DETRANSITIVIZER,REFLEXIVE	-ti	-ti	t i		15	Tacanan	DETRANSITIVIZER,REFLEXIVE	
842	EseEjja	DETRANSITIVIZER,REFLEXIVE	-ki	-ki	k i		15	Tacanan	DETRANSITIVIZER,REFLEXIVE	
683	Proto-Pano-Takana	DO (TR.),AUXILIARY (TR.)	ʔak-	ʔak-	ʔ a k		16		DO (TR.),AUXILIARY (TR.)	1
684	Proto-Pano	DO (TR.),AUXILIARY (TR.)	ʔak-	ʔak-	ʔ a k		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
685	Kakataibo	DO (TR.),AUXILIARY (TR.)	ʔa-	ʔa-	ʔ a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
686	ShipiboKonibo	DO (TR.),AUXILIARY (TR.)	ʔa-	ʔa-	ʔ a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
687	Kapanawa	DO (TR.),AUXILIARY (TR.)	ʔa-	ʔa-	ʔ a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
688	Marubo	DO (TR.),AUXILIARY (TR.)	a	a	a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
689	Chacobo	DO (TR.),AUXILIARY (TR.)	ʔa-	ʔa-	ʔ a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
690	Kaxarari	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
691	Yaminawa	DO (TR.),AUXILIARY (TR.)	ak-	ak-	a k		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
692	Chaninawa	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
693	Sharanawa	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
758	Amawaka	DO (TR.),AUXILIARY (TR.)	ʔa-	ʔa-	ʔ a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
759	Kaxinawa	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
760	Marinawa	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
761	Korubo	DO (TR.),AUXILIARY (TR.)	ak-	ak-	a k		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
762	Matis	DO (TR.),AUXILIARY (TR.)	ak-	ak-	a k		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
763	Matses	DO (TR.),AUXILIARY (TR.)	ak-	ak-	a k		16	Panoan	DO (TR.),AUXILIARY (TR.)	1
830	Proto-Takana	DO (TR.),AUXILIARY (TR.)	a-	a-	a	Girard additionally lists age for Warisa.	16	Tacanan	DO (TR.),AUXILIARY (TR.)	1
831	Tacanan	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Tacanan	DO (TR.),AUXILIARY (TR.)	1
832	Cavinena	DO (TR.),AUXILIARY (TR.)	a-	a-	a		16	Tacanan	DO (TR.),AUXILIARY (TR.)	1
